IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,17517 kB/s
47.243.42.219,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,14154 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,10125 kB/s
47.236.144.208,2096,true,SIN,Asia Pacific,Singapore,248 ms,7672 kB/s
8.219.50.180,2083,true,SIN,Asia Pacific,Singapore,221 ms,7478 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,7407 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,7264 kB/s
47.76.159.146,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,7193 kB/s
8.219.0.162,2083,true,SIN,Asia Pacific,Singapore,217 ms,6856 kB/s
47.237.81.112,8443,true,SIN,Asia Pacific,Singapore,237 ms,6669 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,224 ms,6641 kB/s
47.236.104.11,2083,true,SIN,Asia Pacific,Singapore,243 ms,6577 kB/s
47.237.92.26,2053,true,SIN,Asia Pacific,Singapore,231 ms,6514 kB/s
47.236.171.205,2096,true,SIN,Asia Pacific,Singapore,235 ms,6451 kB/s
47.236.205.188,2053,true,SIN,Asia Pacific,Singapore,223 ms,6418 kB/s
47.76.204.76,2083,true,HKG,Asia Pacific,Hong Kong,67 ms,6353 kB/s
47.236.166.131,2087,true,SIN,Asia Pacific,Singapore,245 ms,6335 kB/s
47.237.95.140,2087,true,SIN,Asia Pacific,Singapore,252 ms,6305 kB/s
47.236.149.107,2087,true,SIN,Asia Pacific,Singapore,237 ms,6276 kB/s
47.236.169.164,2083,true,SIN,Asia Pacific,Singapore,232 ms,6168 kB/s
47.243.42.219,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,6140 kB/s
47.236.168.17,2053,true,SIN,Asia Pacific,Singapore,223 ms,6098 kB/s
47.237.95.156,2053,true,SIN,Asia Pacific,Singapore,233 ms,6024 kB/s
47.237.95.146,2053,true,SIN,Asia Pacific,Singapore,247 ms,5969 kB/s
47.236.9.152,2083,true,SIN,Asia Pacific,Singapore,232 ms,5932 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,222 ms,5916 kB/s
47.236.169.15,2087,true,SIN,Asia Pacific,Singapore,241 ms,5907 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,218 ms,5839 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,233 ms,5772 kB/s
47.237.11.182,2053,true,SIN,Asia Pacific,Singapore,227 ms,5757 kB/s
47.237.82.15,8443,true,SIN,Asia Pacific,Singapore,231 ms,5732 kB/s
47.237.83.20,2053,true,SIN,Asia Pacific,Singapore,230 ms,5725 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,249 ms,5709 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,227 ms,5681 kB/s
